Time,header.seq,header.stamp.secs,header.stamp.nsecs,header.frame_id,nov_header.message_name,nov_header.message_id,nov_header.message_type,nov_header.sequence_number,nov_header.time_status,nov_header.gps_week_number,nov_header.gps_week_milliseconds,latitude,longitude,height,north_velocity,east_velocity,up_velocity,roll,pitch,azimuth,status.status
1698855811.11787,24709,1698855811,117873430,novatel_imu_link,INSPVA,508,0,0,20,2286,318229300,44.2411446908,-76.5101754612,72.696144104,0.238,8.084854126,0.018586982,0.9196200413,0.4453427636,88.0116544994,3
1698855811.13787,24710,1698855811,137873411,novatel_imu_link,INSPVA,508,0,0,20,2286,318229320,44.2411447357,-76.5101734345,72.6965560913,0.235,8.096039772,0.0223539136,0.92862611,0.4504488555,88.0280280165,3
1698855811.15787,24711,1698855811,157873392,novatel_imu_link,INSPVA,508,0,0,20,2286,318229340,44.2411447795,-76.5101714047,72.6969833374,0.228,8.1075716019,0.0196801983,0.9403078146,0.4519830382,88.0444870362,3
1698855811.17787,24712,1698855811,177873373,novatel_imu_link,INSPVA,508,0,0,20,2286,318229360,44.2411448228,-76.5101693722,72.6974258423,0.231,8.1187458038,0.0255755223,0.9499273042,0.4498433386,88.0601977253,3
1698855811.19787,24713,1698855811,197873353,novatel_imu_link,INSPVA,508,0,0,20,2286,318229380,44.2411448663,-76.510167337,72.6979522705,0.229,8.1295604706,0.0264833979,0.9556600398,0.4440024724,88.0755681006,3
1698855811.21787,24714,1698855811,217873334,novatel_imu_link,INSPVA,508,0,0,20,2286,318229400,44.2411449097,-76.5101652995,72.6985321045,0.235,8.1376018524,0.0336163305,0.9548206241,0.4369208411,88.08909243,3
1698855811.23787,24715,1698855811,237873315,novatel_imu_link,INSPVA,508,0,0,20,2286,318229420,44.2411449536,-76.5101632597,72.699256897,0.233,8.147354126,0.037083026,0.95181025,0.4308806699,88.1015153852,3
1698855811.25787,24716,1698855811,257873296,novatel_imu_link,INSPVA,508,0,0,20,2286,318229440,44.241144997,-76.510161218,72.7000198364,0.233,8.1542310715,0.0399213694,0.9439580136,0.4227165201,88.1113976491,3
1698855811.27787,24717,1698855811,277873277,novatel_imu_link,INSPVA,508,0,0,20,2286,318229460,44.2411450403,-76.5101591745,72.7008972168,0.232,8.1620311737,0.0468495898,0.9363644371,0.4181329272,88.1203188331,3
1698855811.29787,24718,1698855811,297873258,novatel_imu_link,INSPVA,508,0,0,20,2286,318229480,44.2411450832,-76.5101571295,72.7018432617,0.23,8.1668796539,0.0473966338,0.9294128539,0.4141280407,88.1278686983,3
1698855811.31787,24719,1698855811,317873239,novatel_imu_link,INSPVA,508,0,0,20,2286,318229500,44.2411451257,-76.5101550829,72.702835083,0.229,8.1743011475,0.0519859456,0.9218729489,0.4125897677,88.1360800942,3
1698855811.33787,24720,1698855811,337873220,novatel_imu_link,INSPVA,508,0,0,20,2286,318229520,44.2411451679,-76.5101530348,72.7038879395,0.226,8.1778078079,0.0523618795,0.9178036801,0.4157292256,88.1468113633,3
1698855811.35787,24721,1698855811,357873201,novatel_imu_link,INSPVA,508,0,0,20,2286,318229540,44.2411452092,-76.5101509854,72.7049560547,0.221,8.1855354309,0.0532911345,0.9176808254,0.4222147535,88.1574413356,3
1698855811.37787,24722,1698855811,377873182,novatel_imu_link,INSPVA,508,0,0,20,2286,318229560,44.2411452503,-76.5101489341,72.7060317993,0.223,8.1921072006,0.0532498658,0.921886325,0.4281534486,88.1690840647,3
1698855811.39787,24723,1698855811,397873163,novatel_imu_link,INSPVA,508,0,0,20,2286,318229580,44.2411452909,-76.5101468812,72.7070770264,0.217,8.2001056671,0.0514764152,0.927986007,0.4388811682,88.1805739227,3
1698855811.41787,24724,1698855811,417873144,novatel_imu_link,INSPVA,508,0,0,20,2286,318229600,44.2411453306,-76.510144826,72.7080841064,0.215,8.2077569962,0.0483639091,0.9386925159,0.449209069,88.1932017122,3
1698855811.43787,24725,1698855811,437873125,novatel_imu_link,INSPVA,508,0,0,20,2286,318229620,44.2411453702,-76.5101427688,72.7090301514,0.218,8.2172899246,0.045868285,0.9460867393,0.4610982872,88.2051744664,3
1698855811.45787,24726,1698855811,457873106,novatel_imu_link,INSPVA,508,0,0,20,2286,318229640,44.2411454106,-76.5101407095,72.7099151611,0.22,8.2243318558,0.0420637392,0.948242046,0.4714680362,88.217360002,3
1698855811.47787,24727,1698855811,477873086,novatel_imu_link,INSPVA,508,0,0,20,2286,318229660,44.2411454517,-76.5101386488,72.7107467651,0.229,8.2318496704,0.0420504324,0.9414837222,0.4866440056,88.2281305953,3
1698855811.49787,24728,1698855811,497873067,novatel_imu_link,INSPVA,508,0,0,20,2286,318229680,44.2411454934,-76.5101365854,72.7115631104,0.224,8.2428770065,0.0384999141,0.9328025502,0.4987795492,88.2383064063,3
1698855811.51787,24729,1698855811,517873048,novatel_imu_link,INSPVA,508,0,0,20,2286,318229700,44.2411455348,-76.5101345201,72.7123260498,0.228,8.2511234283,0.0387832411,0.9204383931,0.5124270469,88.2475466273,3
1698855811.53787,24730,1698855811,537873029,novatel_imu_link,INSPVA,508,0,0,20,2286,318229720,44.2411455761,-76.5101324519,72.7130966187,0.222,8.2623348236,0.0376906544,0.9079416131,0.5240053936,88.2557340914,3
1698855811.55787,24731,1698855811,557873010,novatel_imu_link,INSPVA,508,0,0,20,2286,318229740,44.2411456173,-76.5101303816,72.7138366699,0.225,8.2714357376,0.0376062095,0.8987820802,0.537007521,88.2640509051,3
